poly,win,on_off_c,pid_c
6,925,5.696715106094038,5.6661923986948235
6,700,8.758334301574319,5.806045293853259
6,925,5.013109293362753,5.5469061057655695
6,700,7.747532544287891,5.744345487165714
6,925,6.15245231458156,5.71555224404486
6,700,9.342612773994222,5.83895185741995
