poly,win,on_off_c,pid_c
6,925,165.30453018400522,38.33867196609859
6,925,144.96177964457053,38.25923983893535
6,925,128.765381203248,38.23276246321427
6,925,180.8587534679135,38.33867196609859
6,925,160.86796431283085,38.31219459037751
6,925,134.61905475352393,38.23276246321427
6,925,142.2417973672535,38.25923983893535
6,925,139.40758200905026,38.25923983893535
6,700,250.75087468687258,39.32798416627289
6,700,221.6060021580726,38.92462302542692
6,700,193.04155717539703,38.36631049186527
6,700,272.0260141567837,42.46886073947542
6,700,244.65947283313082,39.212418267277336
6,700,203.15581590467127,38.447314620324974
6,700,217.40716459036412,38.84190467944162
6,700,211.13978204444635,38.75770125477509
