poly,win,on_off_c,pid_c
6,925,5.240977897606514,5.67030571914066
6,925,5.013109293362753,5.657965757803151
6,925,5.013109293362753,5.641512476019805
6,925,5.240977897606514,5.682645680478169
6,925,5.240977897606514,5.67030571914066
6,925,5.013109293362753,5.649739116911478
6,925,5.240977897606514,5.690872321369842
6,925,5.240977897606514,5.6785323600323325
6,700,7.975401148531653,5.8101586142990955
6,700,7.911130516565463,5.801931973407423
6,700,7.747532544287891,5.789592012069914
6,700,8.203269752775414,5.814271934744932
6,700,7.975401148531653,5.8101586142990955
6,700,7.747532544287891,5.79370533251575
6,700,8.203269752775414,5.818385255190768
6,700,7.975401148531653,5.8101586142990955
