poly,win,on_off_c,pid_c
6,925,1.220369608922463,3.8216489688067647
6,925,1.046031093362111,3.565782590024252
6,925,0.8716925778017592,3.2419010978944893
6,925,1.394708124482815,3.957679195501265
6,925,1.220369608922463,3.776305559908598
6,925,0.8716925778017592,3.368214879825097
6,925,1.046031093362111,3.523677996047383
6,925,0.8716925778017592,3.4589016976214304
6,700,1.9177236711638703,4.161724535543035
6,700,1.5690466400431666,3.977112085029051
6,700,1.394708124482815,3.6953351868761573
6,700,2.092062186724222,4.249172538418083
6,700,1.9177236711638703,4.132575201251353
6,700,1.394708124482815,3.811932524042872
6,700,1.5690466400431666,3.941485120894777
6,700,1.5690466400431666,3.8864252672327173
