poly,win,on_off_c,pid_c
6,925,4.582015799990365,3.537264055165313
6,925,4.461436436832724,3.5297555456324696
6,925,4.2202777105174425,3.522247036099626
6,925,4.823174526305648,3.539766891676261
6,925,4.582015799990365,3.537264055165313
6,925,4.340857073675083,3.524749872610574
6,925,4.90464706897973,3.5447725646981567
6,925,4.702595163148008,3.537264055165313
6,700,7.11418242630083,3.58732078538427
6,700,6.8730236999855485,3.5798122758514266
6,700,6.5112856105126244,3.572303766318583
6,700,7.355341152616112,3.589823621895218
6,700,7.11418242630083,3.58732078538427
6,700,6.631864973670265,3.574806602829531
6,700,7.596499878931395,3.589823621895218
6,700,7.234761789458472,3.58732078538427
