poly,win,on_off_c,pid_c
6,925,15.41114145344638,12.781390894112025
6,925,14.929543283026181,12.745084892160346
6,925,13.966346942185782,12.690625889232827
6,925,15.892739623866579,12.808620395575785
6,925,15.41114145344638,12.781390894112025
6,925,14.44794511260598,12.717855390696586
6,925,16.374337794286777,12.826773396551625
6,925,15.892739623866579,12.790467394599945
6,700,23.59831035058977,12.971997404358342
6,700,22.63511400974937,12.953844403382503
6,700,21.190319498488773,12.926614901918743
6,700,24.561506691430168,12.990150405334182
6,700,23.59831035058977,12.971997404358342
6,700,22.15351583932917,12.935691402406663
6,700,25.524703032270565,12.999226905822102
6,700,24.07990852100997,12.981073904846262
