poly,win,on_off_c,pid_c
6,925,1.73107989686619,3.9489398413973373
6,925,1.73107989686619,3.903917679426551
6,925,1.557971907179571,3.8396003051825702
6,925,1.73107989686619,3.9810985285193277
6,925,1.73107989686619,3.9489398413973373
6,925,1.73107989686619,3.8685431235923615
6,925,1.73107989686619,4.00682547821692
6,925,1.73107989686619,3.9650191849583325
6,700,2.769727834985904,4.260879106480644
6,700,2.596619845299285,4.235152156783052
6,700,2.596619845299285,4.193345863524464
6,700,2.769727834985904,4.280174318753838
6,700,2.769727834985904,4.260879106480644
6,700,2.596619845299285,4.2126410757976585
6,700,2.769727834985904,4.296253662314833
6,700,2.769727834985904,4.270526712617241
