poly,win,on_off_c,pid_c
6,925,1.6732380601474275,6.896545344474931
6,925,1.6732380601474275,6.365878232411355
6,925,1.2549285451105707,5.882034689059272
6,925,2.0915475751842845,7.294545678522613
6,925,1.6732380601474275,6.779486422696201
6,925,1.2549285451105707,6.061525035786658
6,925,1.2549285451105707,6.2956428793441175
6,925,1.2549285451105707,6.194191813802552
6,700,2.928166605257998,8.215409196515289
6,700,2.5098570902211415,7.4194085284199245
6,700,2.0915475751842845,6.732662853984709
6,700,3.346476120294855,8.644625243037298
6,700,2.928166605257998,8.082742418499395
6,700,2.0915475751842845,6.958976769423587
6,700,2.5098570902211415,7.302349606641195
6,700,2.0915475751842845,7.154074972388137
