poly,win,on_off_c,pid_c
6,925,24.726178054083206,11.298142183715878
6,925,24.427709134422038,11.298142183715878
6,925,24.006541735552695,11.298142183715878
6,925,24.848876533291385,11.305994886385202
6,925,24.726178054083206,11.298142183715878
6,925,24.006541735552695,11.298142183715878
6,925,24.848876533291385,11.305994886385202
6,925,24.848876533291385,11.305994886385202
6,700,37.33782888126678,11.321700291723849
6,700,36.90010692567886,11.321700291723849
6,700,36.40931300884615,11.321700291723849
6,700,37.390900842511584,11.321700291723849
6,700,37.2151304020586,11.321700291723849
6,700,36.724336485225884,11.321700291723849
6,700,37.758996280136124,11.321700291723849
6,700,37.2151304020586,11.321700291723849
