poly,win,on_off_c,pid_c
6,925,21.902375689110045,12.984654867929384
6,925,20.859405418200048,12.966501866953545
6,925,19.816435147290044,12.948348865977705
6,925,22.42386082456505,12.993731368417304
6,925,21.902375689110045,12.984654867929384
6,925,20.337920282745046,12.957425366465625
6,925,22.94534596002005,13.002807868905224
6,925,22.14022018431757,12.993731368417304
6,700,33.75471348445134,13.111725874760262
6,700,32.33207839821007,13.102649374272342
6,700,30.767622991845066,13.102649374272342
6,700,34.6558634352376,13.111725874760262
6,700,33.612893164327595,13.111725874760262
6,700,31.289108127300068,13.102649374272342
6,700,35.46098921094008,13.111725874760262
6,700,33.89653380457507,13.111725874760262
